Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale,2021-22,,10971,Greenview Drive Land,Greenview Drive,Rochdale,,387102.6271,413783.2167,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10972,Longfield Road Recreational Land,Longfield Street,Rochdale,,388412.2235,413811.9116,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10973,Shawclough Road Land Area,Shawclough Road,Rochdale,,388524.2133,414995.7828,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10975,Silk Street  Land on North Side,Silk Street,Rochdale,,388554.5933,411669.6338,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10977,Molesworth Street No 85 Industrial Lease,Molesworth Street,Rochdale,OL16 1TS,390165.8845,413343.7246,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10979,Blackpits Road Land Adj Carpark,Blackpits Road,Rochdale,,385911.4309,414406.2706, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10981,Bridgefold Road Land,Bridgefold roa,Rochdale,,388507.029,413727.968,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10983,Bury Road Land Adj Cricket Club,Bury Road,Rochdale,,388620.8769,413210.7689,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10984,"Cloverhall, Newbold Brow, Mayfield Road Woodland",Mayfield Road,Rochdale,,391445.5042,413462.4208,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10985,York Street No 106  Heywood,York Street,Heywood,OL10 4NN,386016.4582,410736.9063,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10986,Gandy Lane Land Area,Gandy Lane,Rochdale,,388490.2072,415880.4361,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10987,Whitworth Road Amenity Land,Whitworth Road,Rochdale,,389401.982,415019.2184,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10988,Whitworth Road 52-70 Rochdale Retail Leases,Whitworth Road,Rochdale,,389830.8258,414054.1141,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10989,Whitworth Road 78-89 Retail Leases,Whitworth Road,Rochdale,,389774.1374,414269.0432,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10990,Wardle Road Land Adj Recreation Ground,Wardle Road,Rochdale,,391222.6287,415566.5163,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10991,Foxholes Amenity Land Area,Foxholes Road,Rochdale,,390345.0049,414373.4245,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10992,Bury Road The Dell Amenity Land,Bury Road,Rochdale,,387060.512,412508.271,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10993,Edenfield Road R/O 631 Sub-Station,Edenfield Road,Rochdale,,386252.3995,414453.3314,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10994,Highwood Amenity Land,off Furbarnn Lane,Rochdale,,386161.4707,414316.2108,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10998,College Road 171-183 236-250,College Road,Rochdale,,388882.431,413276.4509,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10999,Mitchell Hey and Holland Street Land Area,Holland Street,Rochdale,,389117.4376,413406.5503,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11000,Spotland Road Land Adj 230,Spotland Road,Rochdale,,388714.0305,413790.6996,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11001,Manchester Road Land on the South East Side Castleton,Manchester Road,Rochdale,,388290.1828,411516.6048,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11002,Heywood Distribution Park Pilsworth,Pilsworth Road,Heywood,,384160.6411,409397.0698, LEASEHOLD,Leasehold (in),Land & Buildings
Rochdale,2021-22,,11004,Edenfield Road Adj Bagslate Quarry Land,Edenfield Road,Rochdale,,386425.9201,414409.8981,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11005,Hutchinson Road Play Area,Hutchinson Road,Rochdale,,385831.3581,414557.1065,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11006,Edenfield Road Front St Vincents School,Edenfield Road,Rochdale,,387151.2495,414018.0921,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11007,Foxholes Brook Amenity Land,Taylor Street,Rochdale,,390064.4068,414337.264,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11008,Canal Street Littleborough Land,Canal Street,Littleborough,,393891.0287,416267.0848,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11009,Tyrone Drive Amenity Land Lying to South,Tyrone Drive,Rochdale,,386742.5981,412168.3574, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,11010,Lower Sheriff Street Industrial Leases,Lower Sheriff Street,Rochdale,,389215.3698,413552.6597,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,11011,Cowm Top Business Park,Cowm Top,Rochdale,,388958.2472,410922.7938,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,11012,Milkstone Road R/O 27-29 and 37 Land Area,Milkstone Road,Rochdale,,389730.5801,412710.0693,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11015,Edenfield Road Dellar Street Land Infill Area,Dellar Street,Rochdale,,388174.9309,414013.8967,FREEHOLD,Local Authority Occupied,Land
